City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
549,San Quintin,MX,76.75,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
550,Nova Olimpia,BR,84.94,clear sky,-14.7972,-57.2881,Motel glamour
553,Decatur,US,82.15,clear sky,39.8403,-88.9548,Haworth Cottage
558,Matara,LK,75.79,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
560,Oriximina,BR,84.63,few clouds,-1.7656,-55.8661,Pousada Tia Amélia
561,Bandar-E Lengeh,IR,88.92,overcast clouds,26.5579,54.8807,کافی نت پارس
564,Kudahuvadhoo,MV,81.45,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
566,Sorong,ID,79.3,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
569,Baghdad,IQ,89.51,clear sky,33.3406,44.4009,Baghdad Hotel
574,Marsh Harbour,BS,84.11,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
576,Gainesville,US,88.79,broken clouds,29.6516,-82.3248,Stayable Select
578,Addanki,IN,80.78,overcast clouds,15.8167,79.9833,Shanthi residency
579,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
580,Virginia Beach,US,89.64,scattered clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
581,Dawei,MM,77.41,overcast clouds,14.0833,98.2,Hotel Dawei
584,Gornyatskiy,RU,76.06,broken clouds,48.2915,40.9575,Remont Komp'yutera
585,Ishigaki,JP,80.73,moderate rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
586,Brigantine,US,82.99,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
587,Belmopan,BZ,86.38,overcast clouds,17.25,-88.7667,Villa San Juan
592,Nuqui,CO,78.15,light rain,5.7125,-77.2708,Hotel Nuquimar
593,North Bend,US,78.24,scattered clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
595,Ciudad Bolivar,VE,82.63,overcast clouds,8.1222,-63.5497,Hotel Edi
596,La Ronge,CA,80.82,few clouds,55.1001,-105.2842,Northland Motor Hotel
597,Howard,US,84.06,clear sky,39.2504,-76.933,The Columbia Inn at Peralynna
601,San Policarpo,PH,79.93,broken clouds,12.1791,125.5072,Agapita M. Nicart
603,Trinidad,BO,87.78,smoke,-14.8333,-64.9,Hotel Piesta
606,Lakki Marwat,PK,89.83,clear sky,32.6079,70.9114,Noor Hotel
608,Parintins,BR,85.57,broken clouds,-2.6283,-56.7358,Cama e Cafe
623,Oxbow,CA,89.64,clear sky,49.2333,-102.1676,Bow Manor Motor Hotel
624,Erie,US,75.07,scattered clouds,42.7667,-78.6664,Roycroft Inn
626,Calamar,CO,79.66,overcast clouds,10.2511,-74.9146,Hostal Katyalex
628,Riachao,BR,82.33,scattered clouds,-7.3619,-46.6172,Pousada Nordestina
629,Jasper,US,90.0,few clouds,37.2001,-94.3502,Guest House Motel
637,Det Udom,TH,76.82,overcast clouds,14.906,105.0784,Chatsuda Resort
640,Samarai,PG,78.62,moderate rain,-10.6167,150.6667,Nuli Sapi
643,Miyako,JP,76.19,broken clouds,39.6367,141.9525,Hotel Route Inn Miyako
644,Sarangani,PH,83.07,broken clouds,5.4033,125.4636,JVL Inn and Cafeteria
647,Jucuaran,SV,79.25,overcast clouds,13.2539,-88.2478,Hostal Doña Consuelo
648,Hirado,JP,76.39,overcast clouds,33.3597,129.5531,Samson Hotel
651,Algiers,DZ,81.88,overcast clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
665,Nouadhibou,MR,75.61,overcast clouds,20.931,-17.0347,El Medina
670,Brokopondo,SR,83.19,overcast clouds,4.75,-55.1667,Matu Island
673,Nabire,ID,76.71,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
680,Mecca,SA,88.16,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
681,Ca Mau,VN,77.79,scattered clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
682,Amli,IN,78.19,light rain,20.2833,73.0167,Hotel Soubhagya Inn
684,Maraba,BR,84.38,clear sky,-5.3686,-49.1178,Hotel Del Principe
685,Gazanjyk,TM,79.79,clear sky,39.2446,55.5154,Railway motel
689,Biak,ID,76.89,broken clouds,-0.9131,122.8766,Penginapan Kim
691,Barra Do Garcas,BR,82.81,few clouds,-15.89,-52.2567,Pousada Tropical
