City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country,Date
122,Dikson,73.5069,80.5464,40.55,overcast clouds,90,94,13.91,RU,2022-08-31 22:20:19
123,Sao Filipe,14.8961,-24.4956,77.92,overcast clouds,81,86,5.32,CV,2022-08-31 22:20:17
124,Port Alfred,-33.5906,26.891,55.18,clear sky,74,0,5.99,ZA,2022-08-31 22:24:47
125,Acapulco,16.8634,-99.8901,85.82,scattered clouds,70,40,8.05,MX,2022-08-31 22:24:47
126,Lompoc,34.6391,-120.4579,81.84,clear sky,66,0,17.27,US,2022-08-31 22:24:03
127,Najran,17.4924,44.1277,77.65,overcast clouds,24,90,4.29,SA,2022-08-31 22:24:47
128,Tahe,52.3333,124.7333,38.19,few clouds,91,23,4.03,CN,2022-08-31 22:24:47
129,Grindavik,63.8424,-22.4338,48.67,broken clouds,87,75,11.5,IS,2022-08-31 22:24:47
130,Sitka,57.0531,-135.33,62.49,clear sky,72,0,8.05,US,2022-08-31 22:24:48
131,Saint George,37.1041,-113.5841,108.25,clear sky,10,0,4.61,US,2022-08-31 22:24:06
132,Basco,20.4487,121.9702,85.35,overcast clouds,76,100,16.33,PH,2022-08-31 22:24:48
133,Ninghai,29.2892,121.4247,72.91,overcast clouds,86,90,8.86,CN,2022-08-31 22:24:48
134,Narsaq,60.9167,-46.05,46.62,few clouds,60,11,1.48,GL,2022-08-31 22:24:49
135,Port Hardy,50.6996,-127.4199,64.58,fog,77,40,10.36,CA,2022-08-31 22:25:49
136,Berlevag,70.8578,29.0864,44.55,broken clouds,70,75,12.66,NO,2022-08-31 22:25:49
137,Bilma,18.6853,12.9164,95.52,few clouds,23,15,8.79,NE,2022-08-31 22:25:50
138,Tolaga Bay,-38.3667,178.3,55.99,scattered clouds,55,36,5.39,NZ,2022-08-31 22:25:50
139,Port Elizabeth,-33.918,25.5701,57.49,clear sky,75,0,17.27,ZA,2022-08-31 22:24:52
140,Bar Harbor,44.3876,-68.2039,72.61,clear sky,88,0,11.5,US,2022-08-31 22:25:50
141,Iwaki,37.05,140.8833,82.76,overcast clouds,96,100,11.01,JP,2022-08-31 22:25:51
142,Khani,41.9563,42.9566,63.97,scattered clouds,40,50,4.81,GE,2022-08-31 22:25:51
143,Airai,-8.9266,125.4092,56.8,broken clouds,76,79,3.09,TL,2022-08-31 22:25:51
144,Cherepovets,59.1333,37.9,47.05,overcast clouds,89,100,14.41,RU,2022-08-31 22:25:51
145,Denpasar,-8.65,115.2167,76.71,broken clouds,94,75,6.91,ID,2022-08-31 22:25:51
146,Kutum,14.2,24.6667,77.63,broken clouds,55,79,6.42,SD,2022-08-31 22:25:52
147,Lithakia,37.7167,20.8333,72.77,clear sky,76,0,6.24,GR,2022-08-31 22:25:52
148,Ladario,-19.0047,-57.6017,85.05,clear sky,27,1,3.04,BR,2022-08-31 22:25:52
149,Mountain Home,43.133,-115.6912,99.88,clear sky,10,0,5.75,US,2022-08-31 22:25:53
150,Esperance,-33.8667,121.9,51.48,scattered clouds,80,45,5.75,AU,2022-08-31 22:25:53
151,Necochea,-38.5473,-58.7368,57.65,overcast clouds,73,100,7.81,AR,2022-08-31 22:25:53
152,Thompson,55.7435,-97.8558,53.76,overcast clouds,62,100,5.75,CA,2022-08-31 22:25:54
